text,label
hey boys  want hot xxx pics sent direct 2 ur phone  txt porn to 69855  24hrs free and then just 50p per day  to stop text stopbcm sf wc1n3xx,0
good afternoon sexy buns  how goes the job search   i wake and you are my first thought as always  my love  i wish your fine and happy and know i adore you ,1
will be out of class in a few hours  sorry,1
glad to see your reply ,1
sorry  i ll call later,1
not much no fights  it was a good nite  ,1
yo you guys ever figure out how much we need for alcohol  jay and i are trying to figure out how much we can safely spend on weed,1
my superior telling that friday is leave for all other department except ours  so it will be leave for you  any way call waheed fathima hr and conform it  ,1
probably earlier than that if the station s where i think it is,1
congratulations ore mo owo re wa  enjoy it and i wish you many happy moments to and fro wherever you go,1
of course  i guess god s just got me on hold right now ,1
i have had two more letters from   i will copy them for you cos one has a message for you  speak soon,1
if you hear a loud scream in about  lt   gt  minutes its cause my gyno will be shoving things up me that don t belong  /,1
kallis is ready for bat in 2nd innings,1
what type of stuff do you sing ,1
i was at bugis juz now wat    but now i m walking home oredi    ü so late then reply    i oso saw a top dat i like but din buy    where r ü now  ,1
bring home some wendy  d,1
thk shld b can    ya  i wana go 4 lessons    haha  can go for one whole stretch   ,1
wif my family booking tour package ,1
what s ur pin ,1
good  do you think you could send me some pix  i would love to see your top and bottom   ,1
i want to tel u one thing u should not mistake me k this is the message that you sent  ,1
 123 congratulations   in this week s competition draw u have won the £1450 prize to claim just call 09050002311 b4280703  t cs/stop sms 08718727868  over 18 only 150ppm,0
urgent  your mobile number                 won a £2000 bonus caller prize on 10/06/03  this is the 2nd attempt to reach you  call 09066368753 asap  box 97n7qp  150ppm,0
you are being contacted by our dating service by someone you know  to find out who it is  call from a land line 09050000928  pobox45w2tg150p,0
super da  good replacement for murali,1
teach me apps da  when you come to college ,1
yes but i dont care  i need you bad  princess ,1
i dont thnk its a wrong calling between us,1
wen ur lovable bcums angry wid u  dnt take it seriously   coz being angry is d most childish n true way of showing deep affection  care n luv    kettoda manda    have nice day da ,1
why are u up so early ,1
fine i miss you very much ,1
just checking in on you  really do miss seeing jeremiah  do have a great month,1
sorry  i ll call later,1
did you stitch his trouser,1
haha    can    but i m having dinner with my cousin   ,1
how much is torch in 9ja ,1
look at amy ure a beautiful  intelligent woman and i like u a lot  i know u dont like me like that so dont worry ,1
christmas is an occasion that is celebrated as a reflection of ur    values     desires     affections    amp  traditions     have an ideal christmas   ,1
dont hesitate  you know this is the second time she has had weakness like that  so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,1
yeah do  don‘t stand to close tho  you‘ll catch something ,1
petey boy whereare you me and all your friendsare in thekingshead come down if you canlove nic,1
babe      i love you       covers your face in kisses ,1
private  your 2003 account statement for 078,0
yes mum lookin strong  ,1
lol your always so convincing ,1
shb b ok lor    thanx   ,1
wait   lt   gt   min  ,1
happy birthday    may u find ur prince charming soon n dun work too hard   ,1
i m watching lotr w my sis dis aft  so u wan 2 meet me 4 dinner at nite a not ,1
you lifted my hopes with the offer of money  i am in need  especially when the end of the month approaches and it hurts my studying  anyways have a gr8 weekend,1
hey babe  i saw you came online for a second and then you disappeared  what happened  ,1
my no  in luton 0125698789 ring me if ur around  h ,1
u sick still can go shopping ,1
this pain couldn t have come at a worse time ,1
why she wants to talk to me,1
private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08715203652 identifier code  42810 expires 29/10/0,0
die    i accidentally deleted e msg i suppose 2 put in e sim archive  haiz    i so sad   ,1
are you still getting the goods ,1
no de am seeing in online shop so that i asked ,1
sorry da  i was thought of calling you lot of times  lil busy i will call you at noon  ,1
pls call me da  what happen ,1
no da  he is stupid da  always sending like this  don believe any of those message pandy is a mental  ,1
lmao you know me so well   ,1
thats cool  i liked your photos  you are very sexy ,1
saw guys and dolls last night with patrick swayze it was great,1
have you emigrated or something  ok maybe 5 30 was a bit hopeful   ,1
you have won  as a valued vodafone customer our computer has picked you to win a £150 prize  to collect is easy  just call 09061743386 ,0
thank you princess  you are so sexy   ,1
i don t know u and u don t know me  send chat to 86688 now and let s find each other  only 150p/msg rcvd  hg/suite342/2lands/row/w1j6hl ldn  18 years or over ,0
are you in town  this is v  important,1
very strange   and  are watching the 2nd one now but i m in bed  sweet dreams  miss u ,1
tomorrow i am not going to theatre      so i can come wherever u call me      tell me where and when to come tomorrow,1
pls pls find out from aunt nike ,1
hot live fantasies call now 08707500020 just 20p per min ntt ltd  po box 1327 croydon cr9 5wb 0870 is a national rate call,0
no calls  messages  missed calls,1
lol that s different  i don t go trying to find every real life photo you ever took ,1
sorry  i ll call later,1
loosu go to hospital  de dont let it careless ,1
i plane to give on this month end ,1
o i played smash bros   lt   gt   religiously ,1
i m gonna rip out my uterus ,1
i dont knw pa  i just drink milk  ,1
ok lor ,1
i thought slide is enough ,1
i gotta collect da car at 6 lei ,1
if you r   home then come down within 5 min,1
your account has been refilled successfully by inr   lt decimal gt    your keralacircle prepaid account balance is rs   lt decimal gt    your transaction id is kr  lt   gt   ,1
yeah sure i ll leave in a min,1
wanna get laid 2nite  want real dogging locations sent direct to ur mobile  join the uk s largest dogging network  txt park to 69696 now  nyt  ec2a  3lp £1 50/msg,0
sorry  i ll call later,1
as one of our registered subscribers u can enter the draw 4 a 100 g b  gift voucher by replying with enter  to unsubscribe text stop,0
hey doc pls i want to get nice t shirt for my hubby nice fiting ones my budget is   lt   gt  k help pls i will load d card abi hw keep me posted luv  2 mj,1
argh my 3g is spotty  anyway the only thing i remember from the research we did was that province and sterling were the only problem free places we looked at,1
k  can i pick up another 8th when you re done ,1
customer place i will call you ,1
don know  wait i will check it ,1
ha  i wouldn t say that i just didn t read anything into way u seemed  i don t like 2 be judgemental    i save that for fridays in the pub ,1
your b4u voucher w/c 27/03 is marsms  log onto www b4utele com for discount credit  to opt out reply stop  customer care call 08717168528,0
double mins   1000 txts on orange tariffs  latest motorola  sonyericsson   nokia with bluetooth free  call mobileupd8 on 08000839402 or call2optout/hf8,0
as per your request  maangalyam  alaipayuthe   has been set as your callertune for all callers  press  9 to copy your friends callertune,1
rose for red red for blood blood for heart heart for u  but u for me     send tis to all ur friends   including me   if u like me   if u get back  1 u r poor in relation  2 u need some 1 to support 3 u r frnd 2 many 4 some1 luvs u 5   some1 is praying god to marry u     try it    ,1
free2day sexy st george s day pic of jordan txt pic to 89080 dont miss out  then every wk a saucy celeb 4 more pics c pocketbabe co uk 0870241182716 £3/wk,0
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true    goodnite  amp  sweet dreams,1
have a great trip to india  and bring the light to everyone not just with the project but with everyone that is lucky to see you smile  bye  abiola,1
apo all other are mokka players only,1
staff science nus edu sg/ phyhcmk/teaching/pc1323,1
hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored  and james has been farting at me all night,1
so when you gonna get rimac access ,1
yes  the only place in town to meet exciting adult singles is now in the uk  txt chat to 86688 now  150p/msg ,0
the world s most happiest frnds never have the same characters    dey just have the best understanding of their differences   ,1
sms services  for your inclusive text credits  pls goto www comuk net login        unsubscribe with stop  no extra charge  help 08700469649  po box420  ip4 5we,0
i love to cuddle  i want to hold you in my strong arms right now   ,1
oh ya ya  i remember da   ,1
ok no prob  take ur time ,1
double mins   double txt   1/2 price linerental on latest orange bluetooth mobiles  call mobileupd8 for the very latest offers  08000839402 or call2optout/lf56,0
maybe   say hi to  and find out if  got his card  great escape or wetherspoons  ,1
and is there a way you can send shade s stuff to her  and she has been wonderful too ,1
bears pic nick  and tom  pete and     dick  in fact  all types try gay chat with photo upload call 08718730666  10p/min   2 stop texts call 08712460324,0
daddy will take good care of you   ,1
k i ll be there before 4 ,1
ha ha ha good joke  girls are situation seekers ,1
goodmorning today i am late for   lt decimal gt  min ,1
74355 xmas iscoming   ur awarded either £500 cd gift vouchers   free entry 2 r £100 weekly draw txt music to 87066 tnc,0
well there s a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that i m a weed fiend/make them smoke too much/impede their doing other things so you see how i m hesitant,1
ok going to sleep  hope i can meet her ,1
wat so late still early mah  or we juz go 4 dinner lor  aiya i dunno   ,1
i wan but too early lei    me outside now wun b home so early    neva mind then   ,1
kit strip   you have been billed 150p  netcollex ltd  po box 1013 ig11 oja,0
good friends care for each other   close friends understand each other    and true friends stay forever beyond words  beyond time  gud ni8,1
yeah i imagine he would be really gentle  unlike the other docs who treat their patients like turkeys ,1
u still going to the mall ,1
nothing  smsing u n xy lor  sorry lor da guys neva c u in person but they sort of know u lor  so u wan 2 meet them xy ask me 2 bring u along 4 our next meeting ,1
abeg  make profit  but its a start  are you using it to get sponsors for the next event ,1
hard but true  how much you show  amp   express your love to someone    that much it will hurt when they leave you or you get seperated    鈥┾  〨ud evening   ,1
hope you are not scared ,1
i am back  good journey  let me know if you need any of the receipts  shall i tell you like the pendent ,1
sir  good morning  hope you had a good weekend  i called to let you know that i was able to raise   lt   gt   from my dad  he however said he would make the rest available by mid feb  this amount is still quite short and i was hoping you would help  do have a good day  abiola,1
arun can u transfr me d amt,1
that was random saw my old roomate on campus  he graduated,1
ok ill send you with in   lt decimal gt   ok ,1
lol you won t feel bad when i use her money to take you out to a steak dinner  d,1
urgent  we are trying to contact u  todays draw shows that you have won a £2000 prize guaranteed  call 09066358361 from land line  claim y87  valid 12hrs only,0
did you say bold  then torch later  or one torch and 2bold ,1
  am on a train back from northampton so i m afraid not ,1
today s offer  claim ur £150 worth of discount vouchers  text yes to 85023 now  savamob  member offers mobile  t cs 08717898035  £3 00 sub  16   unsub reply x,0
i enjoy watching and playing football and basketball  anything outdoors  and you ,1
you have won a guaranteed £1000 cash or a £2000 prize to claim yr prize call our customer service representative on,0
will it help if we propose going back again tomorrow,1
yes   now only saw your message  ,1
yay can t wait to party together ,1
free for 1st week  no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates  www getzed co uk pobox 36504 w45wq 16  norm150p/tone,0
i am in bus on the way to calicut,1
dear subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans  when was elvis presleys birthday  txt answer to 80062,0
thank you  i like you as well   ,1
final chance  claim ur £150 worth of discount vouchers today  text yes to 85023 now  savamob  member offers mobile  t cs savamob pobox84  m263uz  £3 00 subs 16,0
ü bot notes oredi    cos i juz rem i got   ,1
ur hmv quiz cash balance is currently £500   to maximize ur cash in now send hmv1 to 86688 only 150p/msg,0
i have to take exam with march 3,1
been running but only managed 5 minutes and then needed oxygen  might have to resort to the roller option ,1
ok anyway no need to change with what you said,1
you said not now  no problem  when you can  let me know ,1
who are you seeing ,1
yay  you better not have told that to 5 other girls either ,1
i dont know oh  hopefully this month ,1
okie,1
poor girl can t go one day lmao,1
book which lesson  then you msg me    i will call up after work or sth    i m going to get specs  my membership is px3748,1
ha    then we must walk to everywhere    cannot take tram  my cousin said can walk to vic market from our hotel ,1
did u receive my msg ,1
yeah we wouldn t leave for an hour at least  how s 4 sound ,1
she said    do u mind if i go into the bedroom for a minute        ok    i sed in a sexy mood  she came out 5 minuts latr wid a cake   n my wife ,1
hows the champ just leaving glasgow ,1
no message  no responce  what happend ,1
your free ringtone is waiting to be collected  simply text the password  mix  to 85069 to verify  get usher and britney  fml  po box 5249  mk17 92h  450ppw 16,0
ha    both of us doing e same thing  but i got tv 2 watch  u can thk of where 2 go tonight or u already haf smth in mind   ,1
pls send me a comprehensive mail about who i m paying  when and how much ,1
just sent again  do you scream and moan in bed  princess ,1
ok set let u noe e details later   ,1
todays voda numbers ending with 7634 are selected to receive a £350 reward  if you have a match please call 08712300220 quoting claim code 7684 standard rates apply ,0
urgent  call 09066612661 from landline  your complementary 4  tenerife holiday or £10 000 cash await collection sae t cs po box 3 wa14 2px 150ppm 18  sender  hol offer,0
lol that would be awesome payback ,1
none nowhere ikno doesdiscount shitinnit,1
but i dint slept in afternoon ,1
hey    why dont we just go watch x men and have lunch    haha ,1
i m reaching home in 5 min ,1
no  i  didn t  mean to post it  i wrote it  and like so many other times i ve ritten stuff to you  i let it sit there  it was what i was feeling at the time  i was angry  before i left  i hit send  then stop  it wasn t there  i checked on my phone when i got to my car  it wasn t there  you said you didn t sleep  you were bored  so why wouldn t that be the time to clean  fold laundry  etc   at least make the bed ,1
havent stuck at orchard in my dad s car  going 4 dinner now  u leh  so r they free tonight ,1
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork  not cool at all  please do not contact me again or i will report you to your supervisor ,1
see you there  ,1
oic cos me n my sis got no lunch today my dad went out    so dunno whether 2 eat in sch or wat   ,1
dear voucher holder  to claim this weeks offer  at you pc please go to http //www e tlp co uk/expressoffer ts cs apply  to stop texts  txt stop to 80062,0
 deep sigh      i miss you         i am really surprised you haven t gone to the net cafe yet to get to me     don t you miss me ,1
don t worry though  i understand how important it is that i be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me  brb gonna go kill myself,1
you are a £1000 winner or guaranteed caller prize  this is our final attempt to contact you  to claim call 09071517866 now  150ppmpobox10183bhamb64xe,0
they will pick up and drop in car so no problem  ,1
she left it very vague  she just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place  but checking online now and all places around usc are   lt   gt   and up,1
email alertfrom  jeri stewartsize  2kbsubject  low cost prescripiton drvgsto listen to email call 123,0
hey you told your name to gautham ah ,1
he will  you guys close ,1
i m on my way home  went to change batt 4 my watch then go shop a bit lor ,1
pandy joined 4w technologies today he got job  ,1
urgent  important information for o2 user  today is your lucky day  2 find out why log onto http //www urawinner com there is a fantastic surprise awaiting for you,0
gudnite    tc   practice going on,1
waiting in e car 4 my mum lor  u leh  reach home already ,1
no  but we found a diff farm shop to buy some cheese  on way back now  can i call in ,1
never blame a day in ur life  good days give u happiness  bad days give u experience  both are essential in life  all are gods blessings  good morning  ,1
  free  polyphonic ringtone text super to 87131 to get your free poly tone of the week now  16 sn pobox202 nr31 7zs subscription 450pw,0
sun cant come to earth but send luv as rays  cloud cant come to river but send luv as rain  i cant come to meet u  but can send my care as msg to u  gud evng,1
i forgot 2 ask ü all smth   there s a card on da present lei    how  ü all want 2 write smth or sign on it ,1
this message is free  welcome to the new   improved sex   dogging club  to unsubscribe from this service reply stop  msgs 150p 18 only,0
lol  oh you got a friend for the dog  ,1
sad story of a man   last week was my b day  my wife did nt wish me  my parents forgot n so did my kids   i went to work  even my colleagues did not wish ,1
i m used to it  i just hope my agents don t drop me since i ve only booked a few things this year  this whole me in boston  them in nyc was an experiment ,1
any pain on urination any thing else ,1
he s really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,1
ooh  4got  i m gonna start belly dancing in moseley weds 6 30 if u want 2 join me  they have a cafe too  ,1
ok   ,1
free msg  sorry  a service you ordered from 81303 could not be delivered as you do not have sufficient credit  please top up to receive the service ,0
if he started searching he will get job in few days he have great potential and talent ,1
arun can u transfr me d amt,1
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,0
i was up all night too worrying about this appt  it s a shame we missed a girls night out with quizzes popcorn and you doing my hair ,1
you have 1 new message  please call 08712400200 ,0
u too   ,1
then why you came to hostel ,1
den only weekdays got special price    haiz    cant eat liao    cut nails oso muz wait until i finish drivin wat  lunch still muz eat wat    ,1
i not busy juz dun wan 2 go so early   hee   ,1
yes i have  so that s why u texted  pshew   missing you so much,1
how are you enjoying this semester  take care brother ,1
g w r,1
reply to win £100 weekly  where will the 2006 fifa world cup be held  send stop to 87239 to end service,0
hello  sort of out in town already  that   so dont rush home  i am eating nachos  will let you know eta ,1
how come guoyang go n tell her  then u told her ,1
hey sathya till now we dint meet not even a single time then how can i saw the situation sathya ,1
orange brings you ringtones from all time chart heroes  with a free hit each week  go to ringtones   pics on wap  to stop receiving these tips reply stop ,0
sitting in mu waiting for everyone to get out of my suite so i can take a shower,1
finish liao    u ,1
urgent  your mobile no 07808726822 was awarded a £2 000 bonus caller prize on 02/09/03  this is our 2nd attempt to contact you  call 0871 872 9758 box95qu,0
probably not  still going over some stuff here,1
wah lucky man    then can save money    hee   ,1
hey u still at the gym ,1
oh    lk tt den we take e one tt ends at cine lor    dun wan yogasana oso can    ,1
ok lor   ,1
if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,1
stupid its not possible,1
u have a secret admirer  reveal who thinks u r so special  call 09065174042  to opt out reply reveal stop  1 50 per msg recd  cust care 07821230901,0
amazing   if you rearrange these letters it gives the same meaning    dormitory   dirty room astronomer   moon starer the eyes   they see election results   lies lets recount mother in law   woman hitler eleven plus two  twelve plus one its amazing        ,1
call 09090900040   listen to extreme dirty live chat going on in the office right now total privacy no one knows your  sic  listening 60p min 24/7mp 0870753331018 ,0
which is why i never wanted to tell you any of this  which is why i m so short with you and on edge as of late ,1
where are you when wil you reach here ,1
oh yeah  and my diet just flew out the window,1
oh  shit  i thought that was your trip  loooooool     that just makes so much more sense now      grins  and the sofa reference was     the  sleep on a couch  link you sent me     wasn t that how you went on your trip   oh     and didn t your babe go with you for that celebration with your rents ,1
sending you greetings of joy and happiness  do have a gr8 evening,1
armand says get your ass over to epsilon,1
aiyah u did ok already lar  e nydc at wheellock ,1
don know  he is watching film in computer  ,1
no  but heard abt tat  ,1
oops sorry  just to check that you don t mind picking me up tomo at half eight from station  would that be ok ,1
anytime lor   ,1
friendship poem  dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear  gud ni8,1
yar else i ll thk of all sorts of funny things ,1
love isn t a decision  it s a feeling  if we could decide who to love  then  life would be much simpler  but then less magical,1
those were my exact intentions,1
erm    woodland avenue somewhere  do you get the parish magazine  his telephone number will be in there ,1
every day i use to sleep after   lt   gt   so only ,1
i jus hope its true that  missin me cos i m really missin him  you haven t done anything to feel guilty about  yet ,1
yup it s at paragon    i havent decided whether 2 cut yet    hee   ,1
hmv bonus special 500 pounds of genuine hmv vouchers to be won  just answer 4 easy questions  play now  send hmv to 86688 more info www 100percent real com,0
final chance  claim ur £150 worth of discount vouchers today  text yes to 85023 now  savamob  member offers mobile  t cs savamob pobox84  m263uz  £3 00 subs 16,0
its sarcasm    nt scarcasim,1
wherre s my boytoy      ,1
oh mr sheffield  you wanna play that game  okay  you re the boss and i m the nanny  you give me a raise and i ll give you one  ,1
prepare to be pleasured   ,1
i m really sorry i won t b able 2 do this friday hope u can find an alternative hope yr term s going ok   ,1
good morning  im suffering from fever and dysentry   will not be able to come to office today ,1
ur cash balance is currently 500 pounds   to maximize ur cash in now send cash to 86688 only 150p/msg  cc  08718720201 po box 114/14 tcr/w1,0
oh that was a forwarded message  i thought you send that to me,1
k  give back my thanks ,1
some of them told accenture is not confirm  is it true ,1
hey do you want anything to buy  ,1
100 dating service cal l 09064012103 box334sk38ch,0
can you use foreign stamps for whatever you send them off for  ,1
haha    hope ü can hear the receipt sound    gd luck ,1
no chikku nt yet   ya i m free,1
i ll be at mu in like   lt   gt   seconds,1
cant think of anyone with   spare room off   top of my head,1
sex up ur mobile with a free sexy pic of jordan  just text babe to 88600  then every wk get a sexy celeb  pocketbabe co uk 4 more pics  16 £3/wk 087016248,0
today am going to college so am not able to atten the class ,1
call freephone 0800 542 0578 now ,0
… and don‘t worry we‘ll have finished by march … ish ,1
from 88066 lost £12 help,0
yes he have good crickiting mind,1
i am great  how are you ,1
is fujitsu s series lifebook good ,1
arr birthday today   i wish him to get more oscar ,1
can a not ,1
i m gonna say no  sorry  i would but as normal am starting to panic about time  sorry again  are you seeing on tuesday ,1
no problem with the renewal  i ll do it right away but i dont know his details ,1
you are a very very very very bad girl  or lady ,1
k actually can you guys meet me at the sunoco on howard  it should be right on the way,1
i ll see  but prolly yeah,1
k  k  any special today ,1
did u download the fring app ,1
i am waiting machan  call me once you free ,1
yes   it completely in out of form  clark also utter waste ,1
sorry  got a late start  we re on the way,1
howz pain it will come down today do as i said ystrday ice and medicine ,1
hmm  shall i bring a bottle of wine to keep us amused  just joking  i ll still bring a bottle  red or white  see you tomorrow,1
ü takin linear algebra today ,1
aww that s the first time u said u missed me without asking if i missed u first  you do love me    ,1
i m there and i can see you  but you can t see me   maybe you should reboot ym   i seen the buzz,1
hi my darlin im on my way to london and we have just been smashed into by another driver  and have a big dent  im really missing u what have u been up to  xxx,1
ok lor  i ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat ,1
dear hero i am leaving to qatar tonite for an apt opportunity pls do keep in touch at   lt email gt   kerala,1
lol you forgot it eh   yes  i ll bring it in babe,1
someone has conacted our dating service and entered your phone because they fancy you to find out who it is call from landline 09111030116  pobox12n146tf15,0
hey  you got any mail ,1
were somewhere on fredericksburg,1
watching telugu movie  wat abt u ,1
urgent  we are trying to contact you  last weekends draw shows that you have won a £900 prize guaranteed  call 09061701851  claim code k61  valid 12hours only,0
i ve reached home finally   ,1
i love u 2 my little pocy bell i am sorry but i love u,1
neft transaction with reference number   lt   gt   for rs   lt decimal gt   has been credited to the beneficiary account on   lt   gt   at   lt time gt     lt   gt ,1
dear we got   lt   gt   dollars hi hi,1
ill call u 2mrw at ninish  with my address that icky american freek wont stop callin me 2 bad jen k eh ,1
but am going to college pa  what to do  are else ill come there it self  pa ,1
if u dun drive then how i go 2 sch ,1
a gram usually runs like   lt   gt    a half eighth is smarter though and gets you almost a whole second gram for   lt   gt ,1
got smaller capacity one  quite ex   ,1
you are not bothering me but you have to trust my answers  pls ,1
men like shorter ladies  gaze up into his eyes ,1
y ü wan to go there  c doctor ,1
my trip was ok but quite tiring lor  uni starts today but it s ok 4 me cos i m not taking any modules but jus concentrating on my final yr project ,1
get the official england poly ringtone or colour flag on yer mobile for tonights game  text tone or flag to 84199  optout txt eng stop box39822 w111wx £1 50,0
how are you doing  hope you ve settled in for the new school year  just wishin you a gr8 day,1
some friends want me to drive em someplace  probably take a while,1
i tot u reach liao  he said t shirt ,1
hi there  we have now moved in2 our pub   would be great 2 c u if u cud come up ,1
appt is at  lt time gt  am  not my fault u don t listen  i told u twice,1
networking technical support associate ,1
oh ho  is this the first time u use these type of words,1
i wake up long ago already    dunno  what other thing ,1
moji just informed me that you saved our lives  thanks ,1
text pass to 69669 to collect your polyphonic ringtones  normal gprs charges apply only  enjoy your tones,0
call me  i m unable to cal  lets meet bhaskar  and deep,1
thanx 4 puttin da fone down on me  ,1
cool  i ll text you in a few,1
ya very nice     be ready on thursday,1
i told your number to gautham  ,1
swhrt how u dey hope ur ok  tot about u 2day love n miss take care ,1
i ll let you know when it kicks in,1
private  your 2004 account statement for 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code  45239 expires,0
what not under standing ,1
i need    coz i never go before ,1
is there any movie theatre i can go to and watch unlimited movies and just pay once ,1
no  its ful of song lyrics  ,1
congrats  2 mobile 3g videophones r yours  call 09061744553 now  videochat wid ur mates  play java games  dload polyh music  noline rentl  bx420  ip4  5we  150pm,0
babe   i lost you     will you try rebooting  ,1
senthil group company apnt 5pm ,1
how dare you change my ring,1
yes baby  i need to stretch open your pussy ,1
alright if you re sure  let me know when you re leaving,1
sunshine quiz wkly q  win a top sony dvd player if u know which country the algarve is in  txt ansr to 82277  £1 50 sp tyrone,0
cos darren say ü considering mah so i ask ü   ,1
we not leaving yet  ok lor then we go elsewhere n eat  u thk   ,1
no need lar  jus testing e phone card  dunno network not gd i thk  me waiting 4 my sis 2 finish bathing so i can bathe  dun disturb u liao u cleaning ur room ,1
that s cool he ll be here all night  lemme know when you re around,1
remember all those whom i hurt during days of satanic imposter in me need to pay a price so be it may destiny keep me going and as u said pray that i get the mind to get over the same ,1
yes  sura in sun tv   lol ,1
8 at the latest  g s still there if you can scrounge up some ammo and want to give the new ak a try,1
its a part of checking iq,1
we left already we at orchard now ,1
my battery is low babe,1
tomorrow i am not going to theatre      so i can come wherever u call me      tell me where and when to come tomorrow,1
we got a divorce  lol  she s here,1
yes but can we meet in town cos will go to gep and then home  you could text at bus stop  and don t worry we ll have finished by march … ish ,1
here is my new address  apples pairs all that malarky,1
draw va i dont think so  ,1
urgent  we are trying to contact u todays draw shows that you have won a £800 prize guaranteed  call 09050000460 from land line  claim j89  po box245c2150pm,0
i need details about that online job ,1
yup  anything lor  if u dun wan it s ok   ,1
his bday real is in april  ,1
oooh bed ridden ey  what are you thinking of ,1
we are hoping to get away by 7  from langport  you still up for town tonight ,1
free msg  get gnarls barkleys  crazy  ringtone totally free just reply go to this message right now ,0
did u find out what time the bus is at coz i need to sort some stuff out ,1
stupid auto correct on my phone,1
urgent this is our 2nd attempt to contact u  your £900 prize from yesterday is still awaiting collection  to claim call now 09061702893  acl03530150pm,0
dear i am not denying your words please,1
ur going 2 bahamas  callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18 only  to opt out txt x to 07786200117,0
i cant pick the phone right now  pls send a message,1
macha dont feel upset i can assume your mindset believe me one evening with me and i have some wonderful plans for both of us let life begin again call me anytime,1
sorry  i ll call later,1
ok   ,1
 forwarded from 448712404000 please call 08712404000 immediately as there is an urgent message waiting for you ,0
if u sending her home first it s ok lor  i m not ready yet ,1
ok lor    or u wan me go look 4 u ,1
really good  dhanush rocks once again  ,1
    oh well  c u later,1
hey  for me there is no leave on friday  wait i will ask my superior and tell you  ,1
